;Cluster_menor;TP_COR_RACA;Escolaridae_mae;PC;ClasseSocial
832;C1;Nao_branca;Medio;1;E1
833;C1;Nao_branca;Medio;1;E1
834;C3;Nao_branca;Fundamental;1;E1
835;C1;Branca;Fundamental;1;E1
836;C2;Nao_branca;Superior;1;E1
838;C3;Nao_branca;Fundamental;1;E1
839;C3;Nao_branca;Medio;0;E1
841;C1;Branca;Medio;0;E1
842;C1;Branca;Medio;0;D1
843;C1;Branca;Fundamental;1;E1
844;C1;Branca;Medio;1;E1
845;C1;Branca;Medio;3;E1
848;C2;Nao_branca;Superior;1;D1
849;C2;Branca;Superior;1;D1
850;C1;Nao declarado;Superior;1;E1
851;C2;Nao_branca;Superior;1;D1
853;C3;Nao_branca;Fundamental;1;E1
854;C3;Nao_branca;Fundamental;0;E1
855;C2;Nao_branca;Superior;1;E1
857;C1;Branca;Medio;1;E1
858;C1;Branca;Medio;1;D1
859;C2;Nao_branca;Medio;0;D1
860;C2;Nao_branca;Medio;1;D1
861;C3;Nao_branca;Fundamental;0;E1
862;C1;Branca;Superior;2;C1
863;C3;Nao_branca;Medio;0;E1
864;C1;Branca;Medio;3;E1
867;C3;Nao_branca;Fundamental;0;E1
868;C1;Branca;Medio;1;C1
869;C2;Nao_branca;Medio;1;D1
870;C1;Branca;Superior;1;C1
874;C1;Branca;Superior;1;C1
877;C1;Nao_branca;Medio;1;E1
878;C3;Nao_branca;Medio;0;E1
879;C2;Nao_branca;Superior;3;D1
880;C1;Branca;Fundamental;1;E1
881;C2;Nao_branca;Superior;1;D1
882;C2;Nao_branca;Fundamental;1;D1
884;C1;Branca;Medio;1;E1
885;C1;Branca;Fundamental;1;E1
886;C3;Nao_branca;Fundamental;0;E1
887;C3;Nao_branca;Fundamental;0;D1
888;C2;Nao_branca;Superior;1;E1
889;C3;Branca;Fundamental;0;E1
890;C2;Nao_branca;Medio;1;D1
891;C1;Branca;NuncaEstudou;0;D1
893;C3;Nao_branca;Fundamental;0;E1
895;C2;Nao_branca;Fundamental;1;D1
897;C3;Branca;Fundamental;0;E1
898;C3;Nao_branca;Fundamental;3;E1
899;C2;Nao_branca;Fundamental;1;D1
900;C2;Nao_branca;Medio;0;D1
901;C1;Nao_branca;Medio;1;E1
902;C3;Branca;Fundamental;0;E1
